,ARGOS,GPS,GTS,IRIDIUM,date,nProf
0,2194,25.0,,,2004-01-31,2219
1,2097,38.0,,,2004-02-29,2135
2,2353,36.0,,,2004-03-31,2389
3,2309,36.0,,,2004-04-30,2345
4,2526,36.0,,,2004-05-31,2562
5,2481,32.0,,,2004-06-30,2513
6,2568,18.0,,,2004-07-31,2586
7,2687,8.0,,,2004-08-31,2695
8,2803,7.0,,,2004-09-30,2810
9,2987,8.0,,,2004-10-31,2995
10,2972,6.0,,,2004-11-30,2978
11,3220,5.0,,,2004-12-31,3225
12,3375,8.0,,,2005-01-31,3383
13,3160,7.0,,,2005-02-28,3167
14,3586,7.0,,,2005-03-31,3593
15,3586,7.0,,,2005-04-30,3593
16,3917,,,,2005-05-31,3917
17,4061,,,,2005-06-30,4061
18,4252,,,,2005-07-31,4252
19,4239,15.0,,,2005-08-31,4254
20,4158,22.0,,,2005-09-30,4180
21,4588,16.0,,,2005-10-31,4604
22,4701,16.0,,,2005-11-30,4717
23,5042,17.0,,,2005-12-31,5059
24,5195,24.0,,,2006-01-31,5219
25,4973,48.0,,,2006-02-28,5021
26,5534,58.0,,,2006-03-31,5592
27,5397,63.0,,,2006-04-30,5460
28,5570,59.0,,,2006-05-31,5629
29,5479,72.0,,,2006-06-30,5551
30,5655,79.0,,,2006-07-31,5734
31,5699,91.0,,,2006-08-31,5790
32,5731,129.0,,,2006-09-30,5860
33,6239,198.0,,,2006-10-31,6437
34,6368,231.0,,,2006-11-30,6599
35,6676,209.0,,,2006-12-31,6885
36,6788,204.0,,,2007-01-31,6992
37,6162,199.0,,,2007-02-28,6361
38,6872,211.0,,,2007-03-31,7083
39,6577,154.0,,,2007-04-30,6731
40,6843,168.0,,,2007-05-31,7011
41,6564,160.0,,1.0,2007-06-30,6725
42,6978,168.0,,,2007-07-31,7146
43,6980,165.0,,,2007-08-31,7145
44,6830,192.0,,1.0,2007-09-30,7023
45,7169,330.0,,1.0,2007-10-31,7500
46,7075,327.0,,1.0,2007-11-30,7403
47,7293,374.0,,5.0,2007-12-31,7672
48,7379,366.0,,6.0,2008-01-31,7751
49,7072,416.0,,8.0,2008-02-29,7496
50,7571,497.0,,3.0,2008-03-31,8071
51,7398,523.0,,1.0,2008-04-30,7922
52,7628,535.0,,3.0,2008-05-31,8166
53,7427,697.0,,6.0,2008-06-30,8130
54,7624,555.0,,2.0,2008-07-31,8181
55,7593,527.0,,4.0,2008-08-31,8124
56,7349,532.0,,4.0,2008-09-30,7885
57,7734,588.0,,5.0,2008-10-31,8327
58,7671,946.0,,3.0,2008-11-30,8620
59,8019,1416.0,,4.0,2008-12-31,9439
60,8006,981.0,,2.0,2009-01-31,8989
61,7325,657.0,,3.0,2009-02-28,7985
62,8080,716.0,,2.0,2009-03-31,8798
63,7843,702.0,,3.0,2009-04-30,8548
64,8138,710.0,,4.0,2009-05-31,8852
65,7797,804.0,,2.0,2009-06-30,8603
66,7977,999.0,,1.0,2009-07-31,8977
67,7757,659.0,,3.0,2009-08-31,8419
68,7405,649.0,,4.0,2009-09-30,8058
69,7608,634.0,,2.0,2009-10-31,8244
70,7335,795.0,,3.0,2009-11-30,8133
71,7655,708.0,,4.0,2009-12-31,8367
72,7695,676.0,,4.0,2010-01-31,8375
73,6998,691.0,,6.0,2010-02-28,7695
74,7672,822.0,,10.0,2010-03-31,8504
75,7313,848.0,,8.0,2010-04-30,8169
76,7595,1172.0,,5.0,2010-05-31,8772
77,7295,1119.0,,6.0,2010-06-30,8420
78,7531,1136.0,,3.0,2010-07-31,8670
79,7367,1130.0,,4.0,2010-08-31,8501
80,7109,1102.0,,6.0,2010-09-30,8217
81,7363,1105.0,,5.0,2010-10-31,8473
82,7273,1158.0,,4.0,2010-11-30,8435
83,7715,1264.0,4.0,5.0,2010-12-31,8988
84,7722,1112.0,24.0,17.0,2011-01-31,8875
85,6958,958.0,24.0,22.0,2011-02-28,7962
86,7784,1147.0,18.0,19.0,2011-03-31,8968
87,7707,1299.0,6.0,21.0,2011-04-30,9033
88,7931,1273.0,3.0,21.0,2011-05-31,9228
89,7647,1188.0,2.0,21.0,2011-06-30,8858
90,7925,1293.0,,20.0,2011-07-31,9238
91,7906,1369.0,1.0,24.0,2011-08-31,9300
92,7751,1645.0,,38.0,2011-09-30,9434
93,8198,1895.0,,42.0,2011-10-31,10135
94,8089,1532.0,,35.0,2011-11-30,9656
95,8409,1628.0,,39.0,2011-12-31,10076
96,8424,1718.0,,41.0,2012-01-31,10183
97,7859,1577.0,,41.0,2012-02-29,9477
98,8422,1780.0,,60.0,2012-03-31,10262
99,8131,1715.0,,41.0,2012-04-30,9887
100,8346,1807.0,,48.0,2012-05-31,10201
101,7938,1913.0,,53.0,2012-06-30,9904
102,8315,2019.0,,68.0,2012-07-31,10402
103,8239,2262.0,,51.0,2012-08-31,10552
104,7990,2862.0,,52.0,2012-09-30,10904
105,8311,2979.0,4.0,66.0,2012-10-31,11360
106,8145,2891.0,,64.0,2012-11-30,11100
107,8489,2910.0,59.0,53.0,2012-12-31,11511
108,8345,3477.0,130.0,68.0,2013-01-31,12020
109,7445,3472.0,93.0,76.0,2013-02-28,11086
110,8018,4007.0,90.0,96.0,2013-03-31,12211
111,7664,3473.0,46.0,84.0,2013-04-30,11267
112,7957,3556.0,29.0,70.0,2013-05-31,11612
113,7559,3635.0,20.0,75.0,2013-06-30,11289
114,7675,3677.0,18.0,84.0,2013-07-31,11454
115,7658,4067.0,17.0,84.0,2013-08-31,11826
116,7351,4888.0,8.0,85.0,2013-09-30,12332
117,7630,5046.0,6.0,80.0,2013-10-31,12762
118,7246,4020.0,33.0,89.0,2013-11-30,11388
119,7483,4284.0,59.0,84.0,2013-12-31,11910
120,7396,4319.0,253.0,87.0,2014-01-31,12055
121,6553,4338.0,212.0,81.0,2014-02-28,11184
122,7156,5127.0,108.0,94.0,2014-03-31,12485
123,6957,5219.0,30.0,100.0,2014-04-30,12306
124,7143,5970.0,27.0,102.0,2014-05-31,13242
125,6879,5636.0,24.0,85.0,2014-06-30,12624
126,7110,5580.0,18.0,87.0,2014-07-31,12795
127,7082,5624.0,10.0,84.0,2014-08-31,12800
128,6857,5426.0,9.0,85.0,2014-09-30,12377
129,6966,5461.0,9.0,91.0,2014-10-31,12527
130,6832,5277.0,21.0,96.0,2014-11-30,12226
131,7346,5487.0,133.0,91.0,2014-12-31,13057
132,7371,5622.0,315.0,98.0,2015-01-31,13406
133,6650,5688.0,156.0,77.0,2015-02-28,12571
134,7346,5944.0,76.0,82.0,2015-03-31,13448
135,7120,5987.0,34.0,73.0,2015-04-30,13214
136,7383,6634.0,28.0,81.0,2015-05-31,14126
137,7060,5849.0,18.0,83.0,2015-06-30,13010
138,7302,7016.0,10.0,85.0,2015-07-31,14413
139,7122,6856.0,10.0,82.0,2015-08-31,14070
140,6845,6429.0,9.0,91.0,2015-09-30,13374
141,7064,6904.0,8.0,117.0,2015-10-31,14093
142,6861,7337.0,9.0,112.0,2015-11-30,14319
143,7071,7270.0,116.0,121.0,2015-12-31,14578
144,6959,7241.0,164.0,115.0,2016-01-31,14479
145,6455,6842.0,67.0,95.0,2016-02-29,13459
146,6817,7688.0,26.0,104.0,2016-03-31,14635
147,6524,7295.0,25.0,77.0,2016-04-30,13921
148,6671,7876.0,23.0,80.0,2016-05-31,14650
149,6271,7803.0,3.0,75.0,2016-06-30,14152
150,6313,8474.0,,73.0,2016-07-31,14860
151,6222,8100.0,,91.0,2016-08-31,14413
152,5896,7758.0,,88.0,2016-09-30,13742
153,6074,7998.0,,92.0,2016-10-31,14164
154,5763,7704.0,,111.0,2016-11-30,13578
155,5946,8218.0,,84.0,2016-12-31,14248
156,5848,8206.0,,68.0,2017-01-31,14122
157,5129,7511.0,,47.0,2017-02-28,12687
158,5657,8174.0,,63.0,2017-03-31,13894
159,5376,8034.0,,59.0,2017-04-30,13469
160,5466,8020.0,,48.0,2017-05-31,13534
161,5461,7932.0,,48.0,2017-06-30,13441
162,5176,7835.0,,49.0,2017-07-31,13060
163,5071,8303.0,,58.0,2017-08-31,13432
164,4831,8343.0,,65.0,2017-09-30,13239
165,4840,9082.0,,80.0,2017-10-31,14002
166,4649,8784.0,,81.0,2017-11-30,13514
167,4760,8992.0,,75.0,2017-12-31,13827
